probe_id,GSM3584982,GSM3584983,GSM3584984,GSM3584985,GSM3584986,GSM3584987,GSM3584988,GSM3584989,GSM3584990,GSM3584991,GSM3584992,GSM3584993,GSM3584994,GSM3584995,GSM3584996,GSM3584997,GSM3584998,GSM3584999,GSM3585000,GSM3585001,GSM3585002,GSM3585003,GSM3585004,GSM3585005,GSM3585006,GSM3585007,GSM3585008,GSM3585009,GSM3585010,GSM3585011,GSM3585012,GSM3585013,GSM3585014,GSM3585015,GSM3585016,GSM3585017
ILMN_1651286,6.404625524,6.291275368,6.256458893,6.363271978,6.293854784,6.293158099,6.369167702,6.251374815,6.452272445,6.229365062,6.269268384,6.29670768,6.304057418,6.252593762,6.308097664,6.333087569,6.366984457,6.331391996,6.36373656,6.381542951,6.381018502,6.435386145,6.323088888,6.329796338,6.364731591,6.375566058,6.496702496,6.270684665,6.297958391,6.192666424,6.459866249,6.412024471,6.361279213,6.341906253,6.321142323,6.343051089
ILMN_1651288,6.775660158,6.756101381,6.8843093,6.842326532,6.664150952,6.817613568,6.800777367,6.833632838,6.805646175,6.731370463,7.065293727,6.741007261,6.677025538,6.68171758,6.740547389,6.78339514,6.706365198,6.643254942,6.838416076,6.663126789,6.841921672,6.777479493,6.817904219,6.802614275,6.871065159,6.85316776,6.858593294,6.830875278,6.839466263,6.652356117,6.706312867,6.72815243,6.697888998,6.758879341,6.71697531,6.9135921
ILMN_1651292,6.626594,6.397447761,6.322201307,6.326463535,6.505991947,6.493491592,6.47542639,6.51772903,6.452272445,6.497247035,6.471305719,6.542504294,6.473459776,6.410611953,6.413820224,6.44783463,6.459835209,6.374973589,6.36373656,6.459121088,6.381018502,6.445641941,6.480820794,6.463214722,6.540568381,6.330441604,6.628417923,6.611136604,6.345573254,6.542592229,6.506172318,6.432162244,6.361279213,6.399455958,6.537747862,6.343051089
ILMN_1651296,6.966133987,6.933332999,6.893715207,6.799625044,6.881716522,6.759787331,7.015034845,6.85408918,6.609178738,6.744069334,6.436080552,7.207790827,7.007919196,6.885095472,6.681131908,6.93944565,7.118508545,7.030479045,6.658211483,6.839012867,7.022809129,6.514684171,7.042011673,6.789336036,6.891507563,6.647294883,6.788050916,6.991199722,6.698283734,6.896194775,7.081866702,7.107692624,6.829986941,6.798889038,6.792494539,7.013851338
ILMN_1651303,6.626594,6.502620882,6.693354953,6.614040535,6.443822614,6.514714054,6.667434148,6.674566793,6.776059113,6.623992305,6.60250205,6.457256498,6.627533884,6.708352382,6.606657572,6.677452718,6.652573407,6.617773543,6.716949337,6.611416082,6.535275377,6.584620913,6.372733175,6.449898974,6.503494503,6.798447254,6.642708135,6.521332753,6.672586061,6.652356117,6.412088644,6.610018149,6.645494685,6.691109019,6.489726347,6.556041512
ILMN_1651309,6.381542951,6.308407984,6.340187294,6.419098324,6.250370203,6.383966053,6.282035368,6.406172788,6.321381516,6.277745292,6.123533584,6.413499718,6.380362672,6.233002263,6.413820224,6.371083588,6.42365711,6.108643251,6.344430419,6.307856258,6.25488546,6.248538574,6.30709729,6.344699403,6.307649306,6.414653208,6.348057476,6.407267764,6.380100256,6.271392285,6.241513763,6.391211037,6.324385141,6.341906253,6.321142323,6.250370203
ILMN_1651310,6.450773865,6.451148656,6.551912129,6.399714877,6.443822614,6.534862883,6.422893004,6.51772903,6.399455958,6.442032416,6.471305719,6.358751086,6.448147599,6.536924171,6.544905907,6.503765519,6.47769695,6.439547586,6.569452886,6.492520856,6.488266191,6.554501646,6.731061843,6.519338415,6.540568381,6.533359231,6.414525088,6.441372309,6.437531417,6.542592229,6.476101794,6.49197453,6.811107057,6.360813838,6.521273261,6.587862734
ILMN_1651315,7.93757445,8.428962835,8.452350453,8.456712205,8.388824538,8.234073489,8.370869004,8.683439939,8.802626513,8.581057892,8.435670261,8.238513307,8.422319659,8.481929357,8.593659914,8.44400308,8.627685867,8.629439417,8.584051421,8.624463172,8.46624644,8.381674034,8.747792469,8.412666068,8.466447298,8.980074648,8.141594343,8.606208903,8.793246132,8.511348355,8.691928529,8.867582955,8.526877091,8.664016235,8.664635828,8.521540958
ILMN_1651316,6.643637583,6.690262584,6.853829352,6.83233864,6.62990851,6.703693879,6.667434148,6.674566793,6.833273455,6.508154909,6.36453264,6.665389756,6.772189588,6.734658307,6.480208809,6.711640904,6.59375893,6.731370463,6.586782936,6.776507805,6.689892113,6.584620913,6.50941514,6.602445812,6.590019908,6.521005514,6.628417923,6.552203318,6.698283734,6.740394066,6.565015505,6.747989496,6.697888998,6.496097212,6.626981085,6.66404318
ILMN_1651325,6.450773865,6.502620882,6.450773865,6.614040535,6.561027523,6.554763248,6.47542639,6.406172788,6.609178738,6.463338591,6.669583015,6.392415004,6.664689693,6.426328297,6.380362672,6.44783463,6.42365711,6.477328993,6.437531417,6.69158492,6.451773091,6.282526857,6.495552239,6.477328993,6.625266061,6.401396717,6.432352085,6.505961883,6.509954903,6.652356117,6.506172318,6.72815243,6.522670688,6.631066792,6.489726347,6.556041512
ILMN_1651328,7.012624539,7.060736866,7.107435055,6.885049238,6.943047554,7.09962675,6.875539936,7.058934674,7.024174254,7.213435658,6.970323811,7.071482677,7.251715507,7.131954368,7.047041267,7.080575302,7.110068018,7.192666424,7.12932205,6.955693933,7.022809129,7.631011656,7.262183845,6.993131386,7.08077716,7.498939842,7.272647456,7.231148437,7.253023732,6.989760025,7.013513015,6.687667284,6.945820667,7.212459539,7.042488477,7.132636038
ILMN_1651329,6.554298144,6.51892134,6.654636029,6.599349355,6.695544672,6.817613568,6.71570205,6.535923342,6.819598518,6.600926564,6.585304007,6.614821365,6.70149025,6.759888183,6.69551831,6.626372762,6.777031103,6.706469855,6.622495589,6.682036937,6.582683721,6.659671618,6.787877832,6.534096512,6.625266061,6.749005979,6.817904219,6.68251584,6.509954903,6.623936898,6.491427997,6.72815243,6.757970779,6.532149276,6.568474378,6.7513919
ILMN_1651330,6.534862883,6.24003239,6.340187294,6.307304321,6.293854784,6.293158099,6.173639285,6.290856649,6.205237875,6.308821641,6.382460279,6.191021816,6.60267075,6.233002263,6.326497582,6.333087569,6.310956977,6.315698507,6.147204925,6.333900737,6.285156985,6.368572599,6.340018658,6.390592392,6.321859784,6.280489598,6.364731591,6.288481612,6.362740843,6.291763719,6.328266925,6.349834091,6.253704257,6.341906253,6.388473969,6.360015703
ILMN_1651336,6.626594,6.765876253,6.693354953,6.742947328,6.443822614,6.534862883,6.691637788,6.790101621,6.776059113,6.497247035,6.436080552,6.704060824,6.759938607,6.721668861,6.591324001,6.626372762,6.732244528,6.617773543,6.553134727,6.481860574,6.460673074,6.584620913,6.691003242,6.602445812,6.70149025,6.545432555,6.614207892,6.595850817,6.646585983,6.693222936,6.681770811,6.628749297,6.746107111,6.661265264,6.680119734,6.443979543
ILMN_1651339,6.869290052,6.551329575,6.693354953,6.522670688,6.542562918,6.361943774,6.586953484,6.615267364,6.399455958,6.577085452,6.68644747,6.605198887,6.639970988,6.807940313,6.651051691,6.466370049,6.44174955,6.69369814,6.604131992,6.601095448,6.659725669,6.693381355,6.58045844,6.628694074,6.590019908,6.690580055,6.381542951,6.639696987,6.566688329,6.809792484,6.506172318,6.590530346,6.60250205,6.719233232,6.653876458,6.678360057
ILMN_1651341,6.800826381,6.745445149,6.377670647,6.669153498,6.561027523,6.592910003,6.71570205,6.715442063,6.682249802,6.79397271,6.636404915,6.71395924,6.70149025,6.552203318,6.413820224,6.53959945,6.836815457,6.769837844,6.658211483,6.568877373,6.524868154,6.47518071,6.495552239,6.655340986,6.602052087,6.451804306,6.414525088,6.712422782,6.800115507,6.489239793,6.476101794,6.552028611,6.60250205,6.798889038,6.750377097,6.556041512
