feature	n_pairs	statistic	p_value	p_adjust_bh	significant
Hs.152385_at	25	-0.12379318667820022	0.55549083512472641	0.79180614105780134	false
Hs.152414_at	25	0.3725401211597088	0.066654743470018943	0.36703984768172526	false
Hs.152423_at	25	0.18530292630893094	0.37518877349537882	0.67412430691486669	false
Hs.152432_at	25	0.24487839739781481	0.23808931097100261	0.56710393835150308	false
Hs.15243_at	25	-0.21354324701989541	0.3053929265431885	0.62323376562386623	false
Hs.152475_at	25	0.027853467002595052	0.89485566589359544	0.95869889029592936	false
Hs.152477_at	25	0.22398829714586854	0.28176860686437838	0.60284189258483856	false
Hs.1524_at	25	0.39768561220371818	0.048988612763041166	0.33717668098854214	false
Hs.15250_at	25	-0.41741515133055634	0.037886472379644189	0.317597789547439	false
Hs.152531_at	25	-0.22050661377054415	0.28951108876633219	0.6093420829396845	false
Hs.152536_at	25	-0.099808256759298941	0.63501471649663199	0.8379906969306482	false
Hs.152717_at	25	0.29787735544441929	0.14811972991419928	0.47255678015054486	false
Hs.152774_at	25	-0.42167054212261951	0.035776892707002954	0.3131179925363986	false
Hs.15277_at	25	0.17601843730806593	0.399992340345523	0.69247617634880276	false
Hs.152812_at	25	0.45532681475075515	0.022185756515174467	0.28140262855807591	false
Hs.152913_at	25	0.33501531144787933	0.10162582904077647	0.41665137219760451	false
Hs.152944_at	25	-0.25029434931498606	0.22753818239234769	0.55758380176872513	false
Hs.152978_at	25	0.054546372880081975	0.7956648895393279	0.91607776048176892	false
Hs.152983_at	25	-0.090136914050064521	0.66829785547679998	0.85499369428456717	false
Hs.15299_at	25	0.0042553907920631325	0.98389366247213217	0.99399351187304374	false
Hs.153003_at	25	-0.099034549342560174	0.63765324892780983	0.8394311375466289	false
Hs.153022_at	25	0.23095166389651728	0.26668065053861545	0.5912265261554529	false
Hs.153026_at	25	-0.40813066232969131	0.042831640811413607	0.3287830070577345	false
Hs.153058_at	25	-0.0077370741673875136	0.97072002883716402	0.98959815268425633	false
Hs.153088_at	25	-0.32611767615538367	0.11161930834109574	0.42947122529018383	false
Hs.153248_at	25	-0.008510781584126265	0.96779344859552996	0.98827064073304793	false
Hs.153274_at	25	0.0429407616290007	0.83850558703826172	0.93375543130329908	false
Hs.153299_at	25	0.091297475175172657	0.66427004147638347	0.85348455284278457	false
Hs.153310_at	25	0.24255727514759856	0.24270826232180223	0.56979113454569974	false
Hs.153322_at	25	-0.42012312728914197	0.036532922904499207	0.31452465401099083	false
Hs.153343_at	25	0.47505635387759337	0.016405122294396019	0.26510010605586198	false
Hs.153357_at	25	0.13888048130460587	0.50792527859761982	0.76518464908864803	false
Hs.153381_at	25	0.10909274576016395	0.60369677967679047	0.81977817014345089	false
Hs.153408_at	25	0.28704545161007677	0.1641554546965352	0.49285913921673952	false
Hs.153444_at	25	0.13307767567906523	0.52598070446242429	0.7750542828251078	false
Hs.153458_at	25	0.2259225656877154	0.27752441714002601	0.59925335802541424	false
Hs.153479_at	25	-0.11799038105265958	0.57430898090664129	0.80345630336998386	false
Hs.153504_at	25	-0.28704545161007677	0.1641554546965352	0.49285913921673952	false
Hs.153521_at	25	0.6243818853081724	0.00084983535911244102	0.19282265163729534	false
Hs.153546_at	25	-0.28395062194312176	0.16895290191076578	0.49780854295016796	false
Hs.153629_at	25	0.19342685418468786	0.35423227118595196	0.6597941653771553	false
Hs.153648_at	25	0.22863054164630106	0.2716511694616926	0.59475905444737209	false
Hs.153661_at	25	0.18723719485077783	0.37013551221244312	0.67008211710452847	false
Hs.153678_at	25	-0.32534396873864491	0.11252127999854165	0.43087731041974459	false
Hs.153714_at	25	0.18220809664197596	0.38335618154222273	0.67913545017411159	false
Hs.153752_at	25	0.030948296669550054	0.88324720781611699	0.95430815796599833	false
Hs.153768_at	25	0.022824368793793164	0.91376327832566906	0.96601681527799788	false
Hs.153827_at	25	0.50252296717181899	0.010464912138710545	0.24516224155063199	false
Hs.153837_at	25	-0.3423655319068975	0.093884575160923647	0.40790318448514695	false
Hs.153850_at	25	0.19613483014327349	0.34740332614444708	0.65546626999361568	false
Hs.153863_at	25	0.31451206490430245	0.12571755838850357	0.44792039392475358	false
Hs.153934_at	25	0.008510781584126265	0.96779344859552996	0.98827064073304793	false
Hs.153952_at	25	-0.35629226540819497	0.080438209824538059	0.38933412214253871	false
Hs.153961_at	25	0.24719951964803108	0.23352863826737183	0.56305445784724673	false
Hs.15396_at	25	0.21238268589478726	0.30809129524051709	0.62486604046306315	false
Hs.154001_at	25	0.056093787713559468	0.78999317886124465	0.91437178900018501	false
Hs.154029_at	25	0.5392740694669097	0.0054048604978221334	0.23140120364114355	false
Hs.154036_at	25	0.13075655342884898	0.53328751117439466	0.77947097858534664	false
Hs.154069_at	25	0.35242372832450125	0.084017179588359719	0.39457612037321593	false
Hs.154073_at	25	-0.10715847721831707	0.61016781425144972	0.82388453875353795	false
Hs.154078_at	25	0.42747334774816015	0.033051905902643529	0.30936275748595532	false
Hs.154084_at	25	0.43018132370674572	0.031838276444870049	0.30880051989548596	false
Hs.154104_at	25	-0.030174589252811305	0.88614722307587857	0.95497465366046241	false
Hs.154163_at	25	-0.22863054164630106	0.2716511694616926	0.59475905444737209	false
Hs.154210_at	25	-0.10909274576016395	0.60369677967679047	0.81977817014345089	false
Hs.154276_at	25	-0.052225250629865723	0.80419129383382659	0.91946176573472305	false
Hs.154296_at	25	0.053772665463343215	0.79850454633487822	0.91750562449295203	false
Hs.154299_at	25	0.06808625267301012	0.74640902745274118	0.89285355363254792	false
Hs.154320_at	25	-0.082786693591046387	0.6940106825971043	0.86695199567583769	false
Hs.154329_at	25	-0.13114340713721837	0.53206639384787768	0.77876335855389967	false
Hs.154396_at	25	0.1907188782261022	0.36113969896649378	0.66494880192134043	false
Hs.154429_at	25	-0.27543984035899549	0.18264949144783454	0.51366491662672276	false
Hs.154433_at	25	0.23211222502162543	0.26421742779499052	0.58908309803887005	false
Hs.154494_at	25	0.21354324701989541	0.3053929265431885	0.62323376562386623	false
Hs.154495_at	25	0.37408753599318623	0.065443300922127925	0.36436637621008389	false
Hs.1544_at	25	0.30677499073691489	0.13580860502111874	0.45848820632402904	false
Hs.154510_at	25	-0.087042084383109536	0.67908208882632404	0.85991366113945811	false
Hs.1545_at	25	0.011992464959450645	0.95462937578784501	0.98368373936011944	false
Hs.154628_at	25	0.21354324701989541	0.3053929265431885	0.62323376562386623	false
Hs.154652_at	25	0.13965418872134464	0.50554105075629963	0.76377061299076132	false
Hs.154654_at	25	0.17369731505784969	0.40633366514638641	0.69678518919917998	false
Hs.154655_at	25	-0.22128032118728289	0.2877790999208909	0.60799126477025434	false
Hs.154658_at	25	0.50561779683877406	0.009925433218978293	0.24301575943588682	false
Hs.154706_at	25	-0.1733104613494803	0.40739596656713123	0.69783199562906695	false
Hs.15476_at	25	0.12959599230374086	0.53695877516110446	0.7809708293907196	false
Hs.1547_at	25	-0.16479967976535406	0.43115438602933426	0.71480483966234054	false
Hs.154986_at	25	-0.070020521214857009	0.73944590349675454	0.8892928839405978	false
Hs.155004_at	25	0.26112625314932864	0.20738072472112887	0.53897512106486778	false
Hs.155017_at	25	-0.055706934005190105	0.79141014563361944	0.91522040745845157	false
Hs.155040_at	25	-0.39961988074556509	0.047799081178088024	0.33472694552231363	false
Hs.155090_at	25	-0.24449154368944542	0.23885508591866841	0.56798455051392938	false
Hs.155097_at	25	-0.11644296621918208	0.57937424411489635	0.80610510735237517	false
Hs.155204_at	25	-0.12495374780330834	0.5517612348221701	0.78934803416878352	false
Hs.155218_at	25	0.33540216515624871	0.10120694516660526	0.41595329336948489	false
Hs.155247_at	25	-0.047969859837802581	0.81987896965973894	0.9260596384730565	false
Hs.155342_at	25	-0.078918156507352649	0.70767912164199021	0.87515083000962346	false
Hs.15536_at	25	-0.42244424953935827	0.035403572265359659	0.3131179925363986	false
Hs.155396_at	25	-0.011218757542711896	0.95755384573766844	0.9849279451239904	false
Hs.155488_at	25	0.16325226493187653	0.43555307713691616	0.71765278044135128	false
Hs.155538_at	25	-0.37795607307688001	0.062488757367234311	0.36110162575949561	false
Hs.155569_at	25	0.43056817741511516	0.031667848004165514	0.30848878426959292	false
Hs.155572_at	25	0.010445050125973144	0.96047884887738233	0.98626912075036843	false
Hs.155579_at	25	0.45803479070934078	0.021306434435608479	0.27919633313860104	false
Hs.155586_at	25	0.1880109022675166	0.36812530883807149	0.66873433093937396	false
Hs.155597_at	25	0.2483600807731392	0.23127011838989248	0.5611130111074164	false
Hs.155644_at	25	0.46615871858509766	0.01883683544401198	0.27444640436097861	false
