gse_accession	gpl_accession	feature_id	gene	entrez_gene_id
GSE120717	GPL13158	1552499_PM_a_at	ZSCAN20	7579
GSE120717	GPL13158	1552501_PM_a_at	GPBAR1	151306
GSE120717	GPL13158	1552502_PM_s_at	RHBDL2	54933
GSE120717	GPL13158	1552503_PM_at	FRAS1	80144
GSE120717	GPL13158	1552504_PM_a_at	BRSK1	84446
GSE120717	GPL13158	1552506_PM_at	CRB2	286204
GSE120717	GPL13158	1552507_PM_at	KCNE4	23704
GSE120717	GPL13158	1552508_PM_at	KCNE4	23704
GSE120717	GPL13158	1552509_PM_a_at	CD300LG	146894
GSE120717	GPL13158	1552510_PM_at	SLC34A3	142680
GSE120717	GPL13158	1552511_PM_a_at	CPA6	57094
GSE120717	GPL13158	1552514_PM_at	WBP2NL	164684
GSE120717	GPL13158	1552515_PM_at	HIPK1	204851
GSE120717	GPL13158	1552516_PM_a_at	HIPK1	204851
GSE120717	GPL13158	1552518_PM_s_at	MTBP	27085
GSE120717	GPL13158	1552519_PM_at	ACVR1C	130399
GSE120717	GPL13158	1552520_PM_at	TMEM74	157753
GSE120717	GPL13158	1552521_PM_a_at	TMEM74	157753
GSE120717	GPL13158	1552522_PM_at	TIGD4	201798
GSE120717	GPL13158	1552523_PM_a_at	TIGD4	201798
GSE120717	GPL13158	1552524_PM_at	ART5	116969
GSE120717	GPL13158	1552526_PM_at	FAM71C	196472
GSE120717	GPL13158	1552528_PM_at	C21orf67	84536
GSE120717	GPL13158	1552531_PM_a_at	NLRP11	204801
GSE120717	GPL13158	1552532_PM_a_at	ATP6V1C2	245973
GSE120717	GPL13158	1552535_PM_at	CLDN19	149461
GSE120717	GPL13158	1552536_PM_at	VTI1A	143187
GSE120717	GPL13158	1552538_PM_a_at	KIF6	221458
GSE120717	GPL13158	1552540_PM_s_at	IQCD	115811
GSE120717	GPL13158	1552541_PM_at	TAGAP	117289
GSE120717	GPL13158	1552542_PM_s_at	TAGAP	117289
GSE120717	GPL13158	1552543_PM_a_at	STON2	85439
GSE120717	GPL13158	1552544_PM_at	SERPINA12	145264
GSE120717	GPL13158	1552546_PM_a_at	LETM2	137994
GSE120717	GPL13158	1552548_PM_at	BSND	7809
GSE120717	GPL13158	1552549_PM_a_at	BSND	7809
GSE120717	GPL13158	1552552_PM_s_at	CLEC4C	170482
GSE120717	GPL13158	1552553_PM_a_at	NLRC4	58484
GSE120717	GPL13158	1552554_PM_a_at	NLRC4	58484
GSE120717	GPL13158	1552555_PM_at	PRSS36	146547
GSE120717	GPL13158	1552557_PM_a_at	ZDHHC15	158866
GSE120717	GPL13158	1552558_PM_a_at	RAI1	10743
GSE120717	GPL13158	1552559_PM_a_at	CDK15	65061
GSE120717	GPL13158	1552562_PM_at	ZNF570	148268
GSE120717	GPL13158	1552564_PM_at	NUDT9P1	119369
GSE120717	GPL13158	1552566_PM_at	BTBD16	118663
GSE120717	GPL13158	1552568_PM_at	RTP3	83597
GSE120717	GPL13158	1552569_PM_a_at	RTP3	83597
GSE120717	GPL13158	1552570_PM_at	C21orf29	54084
GSE120717	GPL13158	1552572_PM_a_at	MIPOL1	145282
GSE120717	GPL13158	1552573_PM_s_at	MIPOL1	145282
GSE120717	GPL13158	1552575_PM_a_at	C6orf141	135398
GSE120717	GPL13158	1552576_PM_at	ALMS1P	200420
GSE120717	GPL13158	1552578_PM_a_at	MYO3B	140469
GSE120717	GPL13158	1552579_PM_a_at	ADAM21	8747
GSE120717	GPL13158	1552580_PM_at	TRIML2	205860
GSE120717	GPL13158	1552582_PM_at	ABCC13	150000
GSE120717	GPL13158	1552583_PM_s_at	ABCC13	150000
GSE120717	GPL13158	1552584_PM_at	IL12RB1	3594
GSE120717	GPL13158	1552585_PM_s_at	GTF2A1L	11036
GSE120717	GPL13158	1552586_PM_at	TRPV3	162514
GSE120717	GPL13158	1552587_PM_at	CNBD1	168975
GSE120717	GPL13158	1552588_PM_a_at	CNBD1	168975
GSE120717	GPL13158	1552590_PM_a_at	ABCC12	94160
GSE120717	GPL13158	1552592_PM_at	MMP21	118856
GSE120717	GPL13158	1552594_PM_at	TMEM190	147744
GSE120717	GPL13158	1552596_PM_at	GAS2L2	246176
GSE120717	GPL13158	1552598_PM_at	KCNG4	93107
GSE120717	GPL13158	1552599_PM_at	PXT1	222659
GSE120717	GPL13158	1552602_PM_at	CACNG5	27091
GSE120717	GPL13158	1552604_PM_at	C21orf74	54143
GSE120717	GPL13158	1552605_PM_s_at	C21orf74	54143
GSE120717	GPL13158	1552607_PM_at	NCRNA00204	100132967
GSE120717	GPL13158	1552608_PM_at	WFDC11	259239
GSE120717	GPL13158	1552609_PM_s_at	IL28A /// IL28B	282616 /// 282617
GSE120717	GPL13158	1552610_PM_a_at	JAK1	3716
GSE120717	GPL13158	1552611_PM_a_at	JAK1	3716
GSE120717	GPL13158	1552612_PM_at	CDC42SE2	56990
GSE120717	GPL13158	1552613_PM_s_at	CDC42SE2	56990
GSE120717	GPL13158	1552615_PM_at	ACACB	32
GSE120717	GPL13158	1552616_PM_a_at	ACACB	32
GSE120717	GPL13158	1552617_PM_a_at	RFWD2	64326
GSE120717	GPL13158	1552618_PM_at	STX6	10228
GSE120717	GPL13158	1552619_PM_a_at	ANLN	54443
GSE120717	GPL13158	1552620_PM_at	SPRR4	163778
GSE120717	GPL13158	1552621_PM_at	POLR2J2	246721
GSE120717	GPL13158	1552622_PM_s_at	LOC441259 /// POLR2J2	246721 /// 441259
GSE120717	GPL13158	1552623_PM_at	HSH2D	84941
GSE120717	GPL13158	1552625_PM_a_at	TRNT1	51095
GSE120717	GPL13158	1552626_PM_a_at	TMEM163	81615
GSE120717	GPL13158	1552627_PM_a_at	ARHGAP5	394
GSE120717	GPL13158	1552628_PM_a_at	HERPUD2	64224
GSE120717	GPL13158	1552629_PM_a_at	JMJD6	23210
GSE120717	GPL13158	1552630_PM_a_at	SRCAP	10847
GSE120717	GPL13158	1552631_PM_a_at	MAP3K6	9064
GSE120717	GPL13158	1552632_PM_a_at	ARSG	22901
GSE120717	GPL13158	1552633_PM_at	ZNF101	94039
GSE120717	GPL13158	1552634_PM_a_at	ZNF101	94039
GSE120717	GPL13158	1552637_PM_at	PTPN11	5781
GSE120717	GPL13158	1552639_PM_at	KLHDC7B	113730
GSE120717	GPL13158	1552641_PM_s_at	ATAD3A /// ATAD3B /// LOC732419	55210 /// 732419 /// 83858
GSE120717	GPL13158	1552643_PM_at	ZNF626	199777
GSE120717	GPL13158	1552644_PM_a_at	PHC3	80012
GSE120717	GPL13158	1552646_PM_at	IL11RA	3590
GSE120717	GPL13158	1552648_PM_a_at	TNFRSF10A	8797
GSE120717	GPL13158	1552649_PM_a_at	RFFL	117584
GSE120717	GPL13158	1552651_PM_a_at	RFFL	117584
GSE120717	GPL13158	1552652_PM_at	HPS4	89781
GSE120717	GPL13158	1552656_PM_s_at	UHMK1	127933
GSE120717	GPL13158	1552657_PM_a_at	TXNDC2	84203
GSE120717	GPL13158	1552658_PM_a_at	NAV3	89795
GSE120717	GPL13158	1552660_PM_a_at	C5orf22	55322
GSE120717	GPL13158	1552661_PM_at	PCDHGB7	56099
GSE120717	GPL13158	1552662_PM_a_at	PCDHGB7	56099
GSE120717	GPL13158	1552663_PM_a_at	ERC1	23085
GSE120717	GPL13158	1552664_PM_at	FLCN	201163
GSE120717	GPL13158	1552665_PM_at	LOC84989	84989
GSE120717	GPL13158	1552666_PM_a_at	LRRC7	57554
GSE120717	GPL13158	1552667_PM_a_at	SH2D3C	10044
GSE120717	GPL13158	1552669_PM_at	PPP1R3B	79660
GSE120717	GPL13158	1552670_PM_a_at	PPP1R3B	79660
GSE120717	GPL13158	1552671_PM_a_at	SLC9A7	84679
GSE120717	GPL13158	1552672_PM_a_at	IGSF3	3321
GSE120717	GPL13158	1552673_PM_at	RFX6	222546
GSE120717	GPL13158	1552674_PM_at	DIRC1	116093
GSE120717	GPL13158	1552675_PM_at	DNAJB7	150353
GSE120717	GPL13158	1552676_PM_at	UCN3	114131
GSE120717	GPL13158	1552677_PM_a_at	DIP2A	23181
GSE120717	GPL13158	1552678_PM_a_at	USP28	57646
GSE120717	GPL13158	1552680_PM_a_at	CASC5	57082
GSE120717	GPL13158	1552682_PM_a_at	CASC5	57082
GSE120717	GPL13158	1552684_PM_a_at	SENP8	123228
GSE120717	GPL13158	1552685_PM_a_at	GRHL1	29841
GSE120717	GPL13158	1552686_PM_at	C20orf152	140894
GSE120717	GPL13158	1552687_PM_a_at	C20orf152	140894
GSE120717	GPL13158	1552689_PM_at	CASKIN1	57524
GSE120717	GPL13158	1552690_PM_a_at	CACNA2D4	93589
GSE120717	GPL13158	1552691_PM_at	ARL11	115761
GSE120717	GPL13158	1552693_PM_at	ARL11	115761
GSE120717	GPL13158	1552694_PM_at	SLC2A13	114134
GSE120717	GPL13158	1552695_PM_a_at	SLC2A13	114134
GSE120717	GPL13158	1552696_PM_at	NIPA1	123606
GSE120717	GPL13158	1552698_PM_at	MGC16703	113691
GSE120717	GPL13158	1552701_PM_a_at	CARD16	114769
GSE120717	GPL13158	1552703_PM_s_at	CARD16 /// CASP1	114769 /// 834
GSE120717	GPL13158	1552705_PM_at	DUSP19	142679
GSE120717	GPL13158	1552708_PM_a_at	DUSP19	142679
GSE120717	GPL13158	1552711_PM_a_at	CYB5D1	124637
GSE120717	GPL13158	1552712_PM_a_at	NMNAT2	23057
GSE120717	GPL13158	1552713_PM_a_at	SLC4A1	6521
GSE120717	GPL13158	1552714_PM_at	CREG2	200407
GSE120717	GPL13158	1552715_PM_a_at	RXFP1	59350
GSE120717	GPL13158	1552716_PM_at	SPEF2	79925
GSE120717	GPL13158	1552717_PM_s_at	CEP170 /// CEP170L	645455 /// 9859
GSE120717	GPL13158	1552718_PM_at	DTD1	92675
GSE120717	GPL13158	1552719_PM_at	CASC4	113201
GSE120717	GPL13158	1552721_PM_a_at	FGF1	2246
GSE120717	GPL13158	1552722_PM_at	ARPP21	10777
GSE120717	GPL13158	1552724_PM_at	RHOXF1	158800
GSE120717	GPL13158	1552725_PM_s_at	ADAMTS17	170691
GSE120717	GPL13158	1552726_PM_at	ADAMTS17	170691
GSE120717	GPL13158	1552727_PM_s_at	ADAMTS17	170691
GSE120717	GPL13158	1552729_PM_at	SNHG7	84973
GSE120717	GPL13158	1552730_PM_at	DHH	50846
GSE120717	GPL13158	1552731_PM_at	ABRA	137735
GSE120717	GPL13158	1552732_PM_at	ABRA	137735
GSE120717	GPL13158	1552733_PM_at	KLHDC1	122773
GSE120717	GPL13158	1552734_PM_at	RICTOR	253260
GSE120717	GPL13158	1552735_PM_at	PCDHGA4	56111
GSE120717	GPL13158	1552736_PM_a_at	NETO1	81832
GSE120717	GPL13158	1552737_PM_s_at	WWP2	11060
GSE120717	GPL13158	1552738_PM_a_at	ST7L	54879
GSE120717	GPL13158	1552739_PM_s_at	ST7L	54879
GSE120717	GPL13158	1552740_PM_at	C2orf15	150590
GSE120717	GPL13158	1552742_PM_at	KCNH8	131096
GSE120717	GPL13158	1552743_PM_at	MCF2L	23263
GSE120717	GPL13158	1552745_PM_at	SLCO6A1	133482
GSE120717	GPL13158	1552747_PM_a_at	C3orf48	151649
GSE120717	GPL13158	1552749_PM_a_at	KLC3	147700
GSE120717	GPL13158	1552750_PM_at	CIB3	117286
GSE120717	GPL13158	1552751_PM_a_at	CIB3	117286
GSE120717	GPL13158	1552752_PM_a_at	CADM2	253559
GSE120717	GPL13158	1552754_PM_a_at	CADM2	253559
GSE120717	GPL13158	1552755_PM_at	C9orf66	157983
GSE120717	GPL13158	1552757_PM_s_at	C9orf66	157983
GSE120717	GPL13158	1552758_PM_at	HDAC9	9734
GSE120717	GPL13158	1552760_PM_at	HDAC9	9734
GSE120717	GPL13158	1552761_PM_at	SLC16A11	162515
GSE120717	GPL13158	1552763_PM_at	TMEM67	91147
GSE120717	GPL13158	1552765_PM_x_at	TMEM67	91147
GSE120717	GPL13158	1552766_PM_at	HS6ST2	90161
GSE120717	GPL13158	1552767_PM_a_at	HS6ST2	90161
GSE120717	GPL13158	1552768_PM_at	CAMKK1	84254
GSE120717	GPL13158	1552769_PM_at	ZNF625	90589
GSE120717	GPL13158	1552770_PM_s_at	ZNF563	147837
GSE120717	GPL13158	1552771_PM_a_at	LIN9	286826
GSE120717	GPL13158	1552772_PM_at	CLEC4D	338339
GSE120717	GPL13158	1552773_PM_at	CLEC4D	338339
GSE120717	GPL13158	1552774_PM_a_at	SLC25A27	9481
GSE120717	GPL13158	1552775_PM_at	GPRC6A	222545
GSE120717	GPL13158	1552777_PM_a_at	RAET1E	135250
GSE120717	GPL13158	1552779_PM_a_at	SLC44A5	204962
GSE120717	GPL13158	1552782_PM_at	SLC44A5	204962
GSE120717	GPL13158	1552783_PM_at	ZNF417	147687
GSE120717	GPL13158	1552785_PM_at	ZNF781	163115
GSE120717	GPL13158	1552787_PM_at	HELB	92797
GSE120717	GPL13158	1552788_PM_a_at	HELB	92797
GSE120717	GPL13158	1552789_PM_at	SEC62	7095
GSE120717	GPL13158	1552790_PM_a_at	SEC62	7095
GSE120717	GPL13158	1552791_PM_a_at	TRDN	10345
GSE120717	GPL13158	1552792_PM_at	SOCS4	122809
GSE120717	GPL13158	1552793_PM_at	C8orf31	286122
GSE120717	GPL13158	1552794_PM_a_at	ZNF547	284306
GSE120717	GPL13158	1552796_PM_a_at	SIM1	6492
GSE120717	GPL13158	1552797_PM_s_at	PROM2	150696
GSE120717	GPL13158	1552798_PM_a_at	TLR4	7099
GSE120717	GPL13158	1552799_PM_at	TSNARE1	203062
GSE120717	GPL13158	1552800_PM_at	ABHD11	83451
GSE120717	GPL13158	1552801_PM_at	CAPN13	92291
GSE120717	GPL13158	1552803_PM_a_at	STMN1	3925
GSE120717	GPL13158	1552804_PM_a_at	TIRAP	114609
GSE120717	GPL13158	1552806_PM_a_at	SIGLEC10 /// SIGLEC12	89790 /// 89858
GSE120717	GPL13158	1552807_PM_a_at	SIGLEC10 /// SIGLEC12	89790 /// 89858
GSE120717	GPL13158	1552808_PM_at	ADAMTSL1	92949
GSE120717	GPL13158	1552809_PM_at	RFX4	5992
GSE120717	GPL13158	1552811_PM_at	WFIKKN1	117166
GSE120717	GPL13158	1552812_PM_a_at	SENP1	29843
GSE120717	GPL13158	1552813_PM_at	KLF14	136259
GSE120717	GPL13158	1552814_PM_a_at	KLF14	136259
GSE120717	GPL13158	1552816_PM_at	NXNL2	158046
GSE120717	GPL13158	1552818_PM_a_at	BRS3	680
GSE120717	GPL13158	1552819_PM_at	NCRNA00205	257103
GSE120717	GPL13158	1552822_PM_at	TMX3	54495
GSE120717	GPL13158	1552825_PM_at	ZNF396	252884
GSE120717	GPL13158	1552826_PM_at	SLC26A7	115111
GSE120717	GPL13158	1552827_PM_s_at	SLC26A7	115111
GSE120717	GPL13158	1552828_PM_at	SNX18	112574
GSE120717	GPL13158	1552830_PM_at	FBXO39	162517
GSE120717	GPL13158	1552833_PM_at	B3GNT6	192134
GSE120717	GPL13158	1552834_PM_at	B3GNT6	192134
GSE120717	GPL13158	1552835_PM_at	DENND1B	163486
GSE120717	GPL13158	1552836_PM_at	ZNF619	285267
GSE120717	GPL13158	1552837_PM_at	ICK	22858
GSE120717	GPL13158	1552839_PM_at	FAM71D	161142
GSE120717	GPL13158	1552841_PM_s_at	BCL2L14	79370
GSE120717	GPL13158	1552842_PM_at	HS6ST3	266722
GSE120717	GPL13158	1552843_PM_at	SLC26A1	10861
GSE120717	GPL13158	1552845_PM_at	CLDN15	24146
GSE120717	GPL13158	1552846_PM_s_at	RAB42	115273
GSE120717	GPL13158	1552848_PM_a_at	PTCHD1	139411
GSE120717	GPL13158	1552849_PM_at	C2orf65	130951
GSE120717	GPL13158	1552851_PM_at	ZSCAN4	201516
GSE120717	GPL13158	1552852_PM_a_at	ZSCAN4	201516
GSE120717	GPL13158	1552853_PM_at	VWA5B1	127731
GSE120717	GPL13158	1552854_PM_a_at	VWA5B1	127731
GSE120717	GPL13158	1552856_PM_at	TMEM148	197196
GSE120717	GPL13158	1552857_PM_a_at	HTR6	3362
GSE120717	GPL13158	1552858_PM_at	MAGEB6	158809
GSE120717	GPL13158	1552860_PM_at	TCEB3C	162699
GSE120717	GPL13158	1552862_PM_at	C1orf104	284618
GSE120717	GPL13158	1552863_PM_a_at	CACNG6	59285
GSE120717	GPL13158	1552865_PM_a_at	IFLTD1	160492
GSE120717	GPL13158	1552868_PM_at	C19orf23	148046
GSE120717	GPL13158	1552870_PM_s_at	C1orf125	126859
GSE120717	GPL13158	1552872_PM_at	NCRNA00105	80161
GSE120717	GPL13158	1552873_PM_s_at	NCRNA00105	80161
GSE120717	GPL13158	1552875_PM_a_at	CD200R1	131450
GSE120717	GPL13158	1552876_PM_at	C21orf89	114042
GSE120717	GPL13158	1552877_PM_s_at	C21orf89	114042
GSE120717	GPL13158	1552878_PM_at	ATOH7	220202
GSE120717	GPL13158	1552879_PM_a_at	ATOH7	220202
GSE120717	GPL13158	1552880_PM_at	SEC16B	89866
