repository	dataset_accession	relative_path	file_name	size_bytes	manifest_recorded	artifact_type	fetch_status	source	sha256	candidate_type	parser_support	suggested_parser	classification_reason
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/contract_grant_2_study.txt	contract_grant_2_study.txt	47	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/experiment.txt	experiment.txt	251	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/experiment_2_protocol.txt	experiment_2_protocol.txt	74	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/expsample.txt	expsample.txt	13174	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/expsample_2_biosample.txt	expsample_2_biosample.txt	5080	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/expsample_2_reagent.txt	expsample_2_reagent.txt	6194	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/expsample_2_treatment.txt	expsample_2_treatment.txt	4576	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/expsample_public_repository.txt	expsample_public_repository.txt	5647	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/file_details.txt	file_details.txt	1019	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/immune_exposure.txt	immune_exposure.txt	3162	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/inclusion_exclusion.txt	inclusion_exclusion.txt	167	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_adverse_event_severity.txt	lk_adverse_event_severity.txt	1634	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_age_event.txt	lk_age_event.txt	1140	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_analyte.txt	lk_analyte.txt	317871	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_ancestral_population.txt	lk_ancestral_population.txt	3167	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_arm_type.txt	lk_arm_type.txt	2094	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_cell_population.txt	lk_cell_population.txt	33851	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_cell_population_marker.txt	lk_cell_population_marker.txt	3101	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_compound_role.txt	lk_compound_role.txt	340	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_criterion_category.txt	lk_criterion_category.txt	320	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_data_completeness.txt	lk_data_completeness.txt	242	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_disease.txt	lk_disease.txt	99154	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_disease_stage.txt	lk_disease_stage.txt	5947	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_ethnicity.txt	lk_ethnicity.txt	1014	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_exp_measurement_tech.txt	lk_exp_measurement_tech.txt	28584	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_exposure_material.txt	lk_exposure_material.txt	20005	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_exposure_process.txt	lk_exposure_process.txt	2966	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_expsample_result_schema.txt	lk_expsample_result_schema.txt	1382	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_file_detail.txt	lk_file_detail.txt	5563	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_gender.txt	lk_gender.txt	1102	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_hmdb.txt	lk_hmdb.txt	1434911	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_lab_test_name.txt	lk_lab_test_name.txt	67003	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_lab_test_panel_name.txt	lk_lab_test_panel_name.txt	4832	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_locus_name.txt	lk_locus_name.txt	134	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_mass_spectrometry_type.txt	lk_mass_spectrometry_type.txt	582	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_organization.txt	lk_organization.txt	5587	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
