FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
217795	13		Pacific Blue-A	hCD86	CD86
217795	14		Pacific Orange-A	hCD3E, hCD14, VIVID	VIVID/CD3/CD14
217796	6		PE-A	hCD14	CD14
217796	12		APC-H7-A	hFCGR3A	CD16
217796	14		Pacific Orange-A	hCD3E, hMS4A1, VIVID	VIVID/CD3/CD20
217796	15		Time		Time
217797	7		ECD-A	hCD2	CD2
217797	8		PE-Cy5-A	hCD40	CD40
217797	11		Alexa Fluor 700-A	hHLA-DRA	DR
217797	15		Time		Time
217798	6		PE-A	hCCR6	CCR6
217799	6		PE-A	hCD24	CD24
217799	9		PE-Cy7-A	hCD38	CD38
217800	14		Pacific Orange-A	hCD3E, hMS4A1, VIVID	VIVID/CD3/CD20
217801	6		PE-A	hCLEC4C	BDCA-2
217802	3	SSC	SSC-A	SSC	SSC-A
217802	14		Pacific Orange-A		VIVID
217803	2		FSC-H		FSC-H
217804	9		PE-Cy7-A	hCCR7	CCR7
217804	14		Pacific Orange-A	hCD3E, hMS4A1, VIVID	VIVID/CD3/CD20
217805	7		ECD-A	hCD2	CD2
217805	8		PE-Cy5-A	hCD40	CD40
217805	13		Pacific Blue-A	hCD86	CD86
217806	5		FITC-A	hCXCR5	CXCR5
217807	14		Pacific Orange-A	hCD3E, hCD14, VIVID	VIVID/CD3/CD14
217811	1		FSC-A		FSC-A
217811	5		FITC-A	hIGHD	IgD
217808	4	SSC	SSC-H	SSC	SSC-H
217808	10		APC-A	hSECISBP2L	SLAN
217808	15		Time		Time
217810	1		FSC-A		FSC-A
217810	5		FITC-A	hCXCR5	CXCR5
217810	8		PE-Cy5-A	hCXCR3	CXCR3
217812	9		PE-Cy7-A	hCCR7	CCR7
217812	11		Alexa Fluor 700-A	hHLA-DRA	DR
217813	6		PE-A	hCLEC4C	BDCA-2
217814	3	SSC	SSC-A	SSC	SSC-A
217814	6		PE-A	hCCR6	CCR6
217814	13		Pacific Blue-A	hPDCD1	PD-1
217814	14		Pacific Orange-A		VIVID
217816	10		APC-A	hSECISBP2L	SLAN
217817	3	SSC	SSC-A	SSC	SSC-A
217818	1		FSC-A		FSC-A
217818	8		PE-Cy5-A	hCXCR3	CXCR3
217819	11		Alexa Fluor 700-A		Alexa Fluor 700-A
217820	11		Alexa Fluor 700-A	hHLA-DRA	DR
217821	1		FSC-A		FSC-A
217821	4	SSC	SSC-H	SSC	SSC-H
217821	5		FITC-A		LIN-1
217823	15		Time		Time
217824	1		FSC-A		FSC-A
217826	2		FSC-H		FSC-H
217826	4	SSC	SSC-H	SSC	SSC-H
217826	11		Alexa Fluor 700-A	hCD3E	CD3
217826	14		Pacific Orange-A		VIVID
217827	11		Alexa Fluor 700-A		Alexa Fluor 700-A
217828	1		FSC-A		FSC-A
217828	2		FSC-H		FSC-H
217828	4	SSC	SSC-H	SSC	SSC-H
217828	8		PE-Cy5-A	hCD40	CD40
217828	9		PE-Cy7-A	hCCR7	CCR7
217828	15		Time		Time
217830	6		PE-A	hCCR6	CCR6
217832	6		PE-A	hCD14	CD14
217832	14		Pacific Orange-A	hCD3E, hMS4A1, VIVID	VIVID/CD3/CD20
217833	4	SSC	SSC-H	SSC	SSC-H
217833	12		APC-H7-A	hITGAX	CD11c
217834	4	SSC	SSC-H	SSC	SSC-H
217834	5		FITC-A	hCXCR5	CXCR5
217835	3	SSC	SSC-A	SSC	SSC-A
217836	8		PE-Cy5-A	hCD40	CD40
217836	10		APC-A	hSECISBP2L	SLAN
217837	2		FSC-H		FSC-H
217837	3	SSC	SSC-A	SSC	SSC-A
217837	11		Alexa Fluor 700-A	hHLA-DRA	DR
217841	13		Pacific Blue-A	hCD86	CD86
217838	4	SSC	SSC-H	SSC	SSC-H
217839	14		Pacific Orange-A		VIVID
217840	15		Time		Time
217842	10		APC-A	hCD8A	CD8
217843	5		FITC-A	hIGHD	IgD
217843	11		Alexa Fluor 700-A	hCD3E, hCD14	CD3/CD14
217844	5		FITC-A		CXC3CR1
217844	11		Alexa Fluor 700-A	hHLA-DRA	DR
217845	10		APC-A	hTHBD	BDCA-3
217845	12		APC-H7-A	hITGAX	CD11c
217845	14		Pacific Orange-A		VIVID
217846	2		FSC-H		FSC-H
217847	5		FITC-A	hIGHD	IgD
217847	11		Alexa Fluor 700-A	hCD3E, hCD14	CD3/CD14
217847	14		Pacific Orange-A		VIVID
217849	1		FSC-A		FSC-A
217850	2		FSC-H		FSC-H
217850	8		PE-Cy5-A	hCXCR3	CXCR3
217850	14		Pacific Orange-A		VIVID
217851	6		PE-A	hCD24	CD24
