NAME	DISEASE_ONTOLOGY_ID	DESCRIPTION	LINK	HUMAN_PHENOTYPE_ID
pre-eclampsia	DOID:10591	A hypertension occurring during pregnancy characterized by large amounts of protein in the urine (proteinuria) and edema, usually by the last trimester of pregnancy.	http://purl.obolibrary.org/obo/DOID_10591	HP:0100602
psoriatic arthritis	DOID:9008	An arthritis that is characterized by joint inflammation that usually occurs in combination with psoriasis.	http://purl.obolibrary.org/obo/DOID_9008	
pustulosis of palm and sole	DOID:4398	pustulosis of palm and sole	http://purl.obolibrary.org/obo/DOID_4398	HP:0100847
meningitis	DOID:9471	A central nervous system disease that is characterized by an inflammation of the pia-arachnoid meninges. It can be caused by growth of bacteria, fungi, or parasites within the subarachnoid space or by the growth of bacteria or viruses within the meningeal or ependymal cells.	http://purl.obolibrary.org/obo/DOID_9471	HP:0001287
meningococcal meningitis	DOID:0080176	A bacterial meningitis that has_material_basis_in Neisseria meningitidis infection.	http://purl.obolibrary.org/obo/DOID_0080176	
smallpox	DOID:8736	A viral infectious disease that results in infection located in skin, has_material_basis_in Variola virus, which is transmitted by droplets from oral, nasal or pharyngeal mucosa, transmitted by contact with the body fluids, or transmitted by fomites. The infection results in formation of lesions, first on the face, hands and forearms and later on the trunk.	http://purl.obolibrary.org/obo/DOID_8736	
meningoencephalitis	DOID:10554	A central nervous system disease that involves encephalitis which occurs along with meningitis.	http://purl.obolibrary.org/obo/DOID_10554	
milk allergy	DOID:4376	A food allergy that results in adverse immune reaction to one or more of the proteins in cow's milk and/or the milk of other animals, which are normally harmless to the non-allergic individual.	http://purl.obolibrary.org/obo/DOID_4376	
type 2 diabetes mellitus	DOID:9352	A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin.	http://purl.obolibrary.org/obo/DOID_9352	HP:0005978
molluscum contagiosum	DOID:8867	A viral infectious disease that results_in infection located_in skin, has_material_basis_in Molluscum contagiosum virus, which is transmitted_by contact with the skin, and transmitted_by fomites. The infection has_symptom lesions which are flesh-colored with a pit in the center.	http://purl.obolibrary.org/obo/DOID_8867	HP:0032163
yellow fever	DOID:9682	A viral infectious disease that results in infection, has_material_basis_in Yellow fever virus, which is transmitted by Aedes, transmitted by Haemagogus, or transmitted by Sabethes species of mosquitoes. The infection has symptom fever, has symptom muscle pain, has symptom backache, has symptom headache, has symptom shivers, has symptom loss of appetite, has symptom jaundice, and has symptom bleeding from the mouth, nose, eyes or stomach leading to vomitus containing blood.	http://purl.obolibrary.org/obo/DOID_9682	
Aging	NCIT:C16269	The process of change in the structure and function of an organism that occurs with the passage of time.	http://purl.obolibrary.org/obo/NCIT_C16269	
muscle invasive bladder cancer	UMLS CUI:C4725841	Muscle Invasive Bladder Carcinoma. A carcinoma that arises from the bladder mucosa and invades the muscle of the bladder wall.(NCI)	https://uts.nlm.nih.gov/uts/umls/concept/C4725841	
mumps	DOID:10264	A viral infectious disease that results in inflammation located in salivary gland, has_material_basis_in Mumps rubulavirus, which is transmitted by droplet spread of saliva or mucus from the mouth, nose, or throat of an infected person, or transmitted by contaminated fomites. The infection has symptom fever, has symptom headache, has symptom muscle aches, has symptom tiredness, has symptom loss of appetite, has symptom swollen and tender salivary glands under the ears or jaw on one or both sides of the face.	http://purl.obolibrary.org/obo/DOID_10264	
Newcastle disease	DOID:2929	A viral infectious disease that results_in infection in birds and humans, has_material_basis_in Newcastle disease virus, which is transmitted_by contact with feces and urine of an infected bird, or transmitted_by fomites. The infection has_symptom conjunctivitis, has_symptom headache, and has_symptom lacrimation in humans, and has_symptom gasping, has_symptom coughing, has_symptom twisting of head and neck, has_symptom circling, has_symptom complete paralysis, has_symptom watery diarrhea, and has_symptom reduced egg production in birds.	http://purl.obolibrary.org/obo/DOID_2929	
optic nerve glioma	DOID:4992	optic nerve glioma	http://purl.obolibrary.org/obo/DOID_4992	HP:0009734
peanut allergy	DOID:4378	A legume allergy that is an allergy or hypersensitivity to dietary substances from peanuts causing an overreaction of the immune system which in a small percentage of people may lead to severe physical symptoms.	http://purl.obolibrary.org/obo/DOID_4378	
Perennial Allergic Rhinitis	NCIT:C92189	Allergic rhinitis caused by indoor allergens and lasting year round.	http://purl.obolibrary.org/obo/NCIT_C92189	HP:0003193
pertussis	DOID:1116	A commensal bacterial infectious disease that results_in inflammation located_in respiratory tract, has_material_basis_in Bordetella pertussis, or has_material_basis_in Bordetella parapertussis, which produce toxins that paralyze the cilia of the respiratory epithelial cells. The infection is characterized by a prolonged, high-pitched, deeply indrawn breath (whoop).	http://purl.obolibrary.org/obo/DOID_1116	
pharyngitis	DOID:2275	An upper respiratory tract disease involving inflammation of the throat or pharynx resulting from bacterial, viral, fungal infections or irritants like pollutants or chemical substances and smoking. The infection is often referred to as sore throat. The symptoms include pain during swallowing, enlarged tonsils coated with a white discharge, runny nose, cough and slight fever.	http://purl.obolibrary.org/obo/DOID_2275	HP:0025439
