FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	ORIGINAL_FILE_NAME	WORKSPACE_ID
570878	Flow cytometry compensation or control	303116	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD3 Alexa Fluor 700 Stained Control.570878.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD3 Alexa Fluor 700 Stained Control.fcs	2799
570879	Flow cytometry compensation or control	303100	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD27 APC-H7 Stained Control.570879.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD27 APC-H7 Stained Control.fcs	2799
570880	Flow cytometry compensation or control	303100	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD16 APC-H7 Stained Control.570880.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD16 APC-H7 Stained Control.fcs	2799
570881	Flow cytometry compensation or control	303103	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD11c APC-H7 Stained Control.570881.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD11c APC-H7 Stained Control.fcs	2799
570882	Flow cytometry compensation or control	303097	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD4 APC-H7 Stained Control.570882.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD4 APC-H7 Stained Control.fcs	2799
570883	Flow cytometry compensation or control	303112	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD86 Pacific Blue Stained Control.570883.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD86 Pacific Blue Stained Control.fcs	2799
570884	Flow cytometry compensation or control	303112	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_PD-1 Pacific Blue Stained Control.570884.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_PD-1 Pacific Blue Stained Control.fcs	2799
570885	Flow cytometry compensation or control	303114	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD3 Pacific Orange Stained Control.570885.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD3 Pacific Orange Stained Control.fcs	2799
570886	Flow cytometry result	53265738	002_V1_051612_Mono.570886.fcs	002_V1_051612_Mono.fcs	2799
570887	Flow cytometry result	54278710	002_V1_051612_DC.570887.fcs	002_V1_051612_DC.fcs	2799
570888	Flow cytometry result	24920769	002_V1_051612_TFH.570888.fcs	002_V1_051612_TFH.fcs	2799
570889	Flow cytometry result	16400657	002_V2_051612_Tube_001.570889.fcs	002_V2_051612_Tube_001.fcs	2799
570890	Flow cytometry result	37196962	002_V2_051612_Tube_002.570890.fcs	002_V2_051612_Tube_002.fcs	2799
570891	Flow cytometry result	37476676	002_V2_051612_Tube_003.570891.fcs	002_V2_051612_Tube_003.fcs	2799
570892	Flow cytometry result	10741994	002_V2_051612_Tube_004.570892.fcs	002_V2_051612_Tube_004.fcs	2799
570893	Flow cytometry result	22345277	002_V3_051612_Tube_001.570893.fcs	002_V3_051612_Tube_001.fcs	2799
570894	Flow cytometry result	44032462	002_V3_051612_Tube_002.570894.fcs	002_V3_051612_Tube_002.fcs	2799
570895	Flow cytometry result	42826636	002_V3_051612_Tube_003.570895.fcs	002_V3_051612_Tube_003.fcs	2799
570896	Flow cytometry result	17285174	002_V3_051612_Tube_004.570896.fcs	002_V3_051612_Tube_004.fcs	2799
570897	Flow cytometry result	14918897	002_V4_051612_Tube_001.570897.fcs	002_V4_051612_Tube_001.fcs	2799
570898	Flow cytometry result	34182202	002_V4_051612_Tube_002.570898.fcs	002_V4_051612_Tube_002.fcs	2799
570899	Flow cytometry result	34313236	002_V4_051612_Tube_003.570899.fcs	002_V4_051612_Tube_003.fcs	2799
570900	Flow cytometry result	15463214	002_V4_051612_Tube_004.570900.fcs	002_V4_051612_Tube_004.fcs	2799
570901	Flow cytometry result	20578818	002_V5_051612_Tube_001.570901.fcs	002_V5_051612_Tube_001.fcs	2799
570902	Flow cytometry result	38087783	002_V5_051612_Tube_002.570902.fcs	002_V5_051612_Tube_002.fcs	2799
570903	Flow cytometry result	39205337	002_V5_051612_Tube_003.570903.fcs	002_V5_051612_Tube_003.fcs	2799
570904	Flow cytometry result	12591675	002_V5_051612_Tube_004.570904.fcs	002_V5_051612_Tube_004.fcs	2799
570905	Flow cytometry result	20528418	002_V6_051612_Tube_001.570905.fcs	002_V6_051612_Tube_001.fcs	2799
570906	Flow cytometry result	42102983	002_V6_051612_Tube_002.570906.fcs	002_V6_051612_Tube_002.fcs	2799
570907	Flow cytometry result	46313957	002_V6_051612_Tube_003.570907.fcs	002_V6_051612_Tube_003.fcs	2799
570908	Flow cytometry result	20188215	002_V6_051612_Tube_004.570908.fcs	002_V6_051612_Tube_004.fcs	2799
570909	Flow cytometry result	23727558	002_V7_051612_Tube_001.570909.fcs	002_V7_051612_Tube_001.fcs	2799
570910	Flow cytometry result	47048363	002_V7_051612_Tube_002.570910.fcs	002_V7_051612_Tube_002.fcs	2799
570911	Flow cytometry result	50379977	002_V7_051612_Tube_003.570911.fcs	002_V7_051612_Tube_003.fcs	2799
570912	Flow cytometry result	20369655	002_V7_051612_Tube_004.570912.fcs	002_V7_051612_Tube_004.fcs	2799
570913	Flow cytometry result	27631038	002_V8_051612_Tube_001.570913.fcs	002_V8_051612_Tube_001.fcs	2799
570914	Flow cytometry result	56859263	002_V8_051612_Tube_002.570914.fcs	002_V8_051612_Tube_002.fcs	2799
570915	Flow cytometry result	58072577	002_V8_051612_Tube_003.570915.fcs	002_V8_051612_Tube_003.fcs	2799
570916	Flow cytometry result	25598655	002_V8_051612_Tube_004.570916.fcs	002_V8_051612_Tube_004.fcs	2799
570917	Flow cytometry result	37159155	004_V1_052212_B cell.570917.fcs	004_V1_052212_B cell.fcs	2799
570918	Flow cytometry compensation or control	1133431	CST_052212_LOT#18360.570918.fcs	CST_052212_LOT#18360.fcs	2799
570919	Flow cytometry compensation or control	303069	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_Unstained Control.570919.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_Unstained Control.fcs	2799
570920	Flow cytometry compensation or control	303092	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_IgD FITC Stained Control.570920.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_IgD FITC Stained Control.fcs	2799
570921	Flow cytometry compensation or control	303091	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD14 PE Stained Control.570921.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD14 PE Stained Control.fcs	2799
570922	Flow cytometry compensation or control	303092	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD19 ECD Stained Control.570922.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD19 ECD Stained Control.fcs	2799
570923	Flow cytometry compensation or control	303099	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD20 PE-Cy5 Stained Control.570923.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD20 PE-Cy5 Stained Control.fcs	2799
570924	Flow cytometry compensation or control	303100	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD40 PE-Cy5 Stained Control.570924.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD40 PE-Cy5 Stained Control.fcs	2799
570925	Flow cytometry compensation or control	303106	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CXCR3 PE-Cy5 Stained Control.570925.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CXCR3 PE-Cy5 Stained Control.fcs	2799
570926	Flow cytometry compensation or control	303098	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD38 PE-Cy7 Stained Control.570926.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD38 PE-Cy7 Stained Control.fcs	2799
570927	Flow cytometry compensation or control	303100	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD1c PE-Cy7 Stained Control.570927.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD1c PE-Cy7 Stained Control.fcs	2799
570928	Flow cytometry compensation or control	303091	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD8 APC Stained Control.570928.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD8 APC Stained Control.fcs	2799
570929	Flow cytometry compensation or control	303114	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD3 Alexa Fluor 700 Stained Control.570929.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD3 Alexa Fluor 700 Stained Control.fcs	2799
570930	Flow cytometry compensation or control	303101	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD27 APC-H7 Stained Control.570930.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD27 APC-H7 Stained Control.fcs	2799
570931	Flow cytometry compensation or control	303102	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD16 APC-H7 Stained Control.570931.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD16 APC-H7 Stained Control.fcs	2799
570932	Flow cytometry compensation or control	303103	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD11c APC-H7 Stained Control.570932.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD11c APC-H7 Stained Control.fcs	2799
570933	Flow cytometry compensation or control	303097	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD4 APC-H7 Stained Control.570933.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD4 APC-H7 Stained Control.fcs	2799
570934	Flow cytometry compensation or control	303112	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD86 Pacific Blue Stained Control.570934.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD86 Pacific Blue Stained Control.fcs	2799
570935	Flow cytometry compensation or control	303112	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_PD-1 Pacific Blue Stained Control.570935.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_PD-1 Pacific Blue Stained Control.fcs	2799
570936	Flow cytometry compensation or control	303113	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD3 Pacific Orange Stained Control.570936.fcs	ExVivo_PBMC_Phenotyping_PT4--Compensation Controls_CD3 Pacific Orange Stained Control.fcs	2799
570937	Flow cytometry result	78809538	004_V1_052212_Mono.570937.fcs	004_V1_052212_Mono.fcs	2799
570938	Flow cytometry result	92689330	004_V1_052212_DC.570938.fcs	004_V1_052212_DC.fcs	2799
570939	Flow cytometry result	28799049	004_V1_052212_TFH.570939.fcs	004_V1_052212_TFH.fcs	2799
570940	Flow cytometry result	47584228	004_V2_052212_Tube_001.570940.fcs	004_V2_052212_Tube_001.fcs	2799
570941	Flow cytometry result	98490933	004_V2_052212_Tube_002.570941.fcs	004_V2_052212_Tube_002.fcs	2799
570942	Flow cytometry result	78854776	004_V2_052212_Tube_003.570942.fcs	004_V2_052212_Tube_003.fcs	2799
570943	Flow cytometry result	50889854	004_V2_052212_Tube_004.570943.fcs	004_V2_052212_Tube_004.fcs	2799
570944	Flow cytometry result	30830357	004_V3_052212_Tube_001.570944.fcs	004_V3_052212_Tube_001.fcs	2799
570945	Flow cytometry result	84153382	004_V3_052212_Tube_002.570945.fcs	004_V3_052212_Tube_002.fcs	2799
570946	Flow cytometry result	82873216	004_V3_052212_Tube_003.570946.fcs	004_V3_052212_Tube_003.fcs	2799
570947	Flow cytometry result	35142674	004_V3_052212_Tube_004.570947.fcs	004_V3_052212_Tube_004.fcs	2799
570948	Flow cytometry result	47125577	004_V4_052212_Tube_001.570948.fcs	004_V4_052212_Tube_001.fcs	2799
570949	Flow cytometry result	64979662	004_V4_052212_Tube_002.570949.fcs	004_V4_052212_Tube_002.fcs	2799
570950	Flow cytometry result	68877616	004_V4_052212_Tube_003.570950.fcs	004_V4_052212_Tube_003.fcs	2799
570951	Flow cytometry result	33099494	004_V4_052212_Tube_004.570951.fcs	004_V4_052212_Tube_004.fcs	2799
570952	Flow cytometry result	27172409	004_V5_052212_Tube_001.570952.fcs	004_V5_052212_Tube_001.fcs	2799
570953	Flow cytometry result	51741143	004_V5_052212_Tube_002.570953.fcs	004_V5_052212_Tube_002.fcs	2799
570954	Flow cytometry result	65447777	004_V5_052212_Tube_003.570954.fcs	004_V5_052212_Tube_003.fcs	2799
570955	Flow cytometry result	27757035	004_V5_052212_Tube_004.570955.fcs	004_V5_052212_Tube_004.fcs	2799
570956	Flow cytometry result	42032298	004_V6_052212_Tube_001.570956.fcs	004_V6_052212_Tube_001.fcs	2799
570957	Flow cytometry result	107107523	004_V6_052212_Tube_002.570957.fcs	004_V6_052212_Tube_002.fcs	2799
570958	Flow cytometry result	106686557	004_V6_052212_Tube_003.570958.fcs	004_V6_052212_Tube_003.fcs	2799
570959	Flow cytometry result	46993455	004_V6_052212_Tube_004.570959.fcs	004_V6_052212_Tube_004.fcs	2799
570960	Flow cytometry result	32337078	004_V7_052212_Tube_001.570960.fcs	004_V7_052212_Tube_001.fcs	2799
570961	Flow cytometry result	83684543	004_V7_052212_Tube_002.570961.fcs	004_V7_052212_Tube_002.fcs	2799
570962	Flow cytometry result	72193457	004_V7_052212_Tube_003.570962.fcs	004_V7_052212_Tube_003.fcs	2799
570963	Flow cytometry result	39009315	004_V7_052212_Tube_004.570963.fcs	004_V7_052212_Tube_004.fcs	2799
570964	Flow cytometry result	74659938	004_V8_052212_Tube_001.570964.fcs	004_V8_052212_Tube_001.fcs	2799
570965	Flow cytometry result	92402423	004_V8_052212_Tube_002.570965.fcs	004_V8_052212_Tube_002.fcs	2799
570966	Flow cytometry result	68142257	004_V8_052212_Tube_003.570966.fcs	004_V8_052212_Tube_003.fcs	2799
570967	Flow cytometry result	44386345	004_V8_052212_Tube_004.570967.fcs	004_V8_052212_Tube_004.fcs	2799
570968	Flow cytometry result	6804069	009_V1_041712_Tube_001.570968.fcs	009_V1_041712_Tube_001.fcs	2799
570969	Flow cytometry compensation or control	303015	ExVivo_PBMC_Phenotyping_PT9--Compensation Controls_Alexa Fluor 700 Stained Control.570969.fcs	ExVivo_PBMC_Phenotyping_PT9--Compensation Controls_Alexa Fluor 700 Stained Control.fcs	2799
570970	Flow cytometry compensation or control	302988	ExVivo_PBMC_Phenotyping_PT9--Compensation Controls_APC Stained Control.570970.fcs	ExVivo_PBMC_Phenotyping_PT9--Compensation Controls_APC Stained Control.fcs	2799
570971	Flow cytometry compensation or control	602986	ExVivo_PBMC_Phenotyping_PT9--Compensation Controls_PE Stained Control.570971.fcs	ExVivo_PBMC_Phenotyping_PT9--Compensation Controls_PE Stained Control.fcs	2799
570972	Flow cytometry compensation or control	303017	Compensation Controls_CCR7 PE-Cy7 Stained Control.570972.fcs	Compensation Controls_CCR7 PE-Cy7 Stained Control.fcs	2799
570973	Flow cytometry compensation or control	303020	ExVivo_PBMC_Phenotyping_PT9--Compensation Controls_CD11c APC-H7 Stained Control.570973.fcs	ExVivo_PBMC_Phenotyping_PT9--Compensation Controls_CD11c APC-H7 Stained Control.fcs	2799
